entidad,proveedor,mes,dia,hora,ivrs_total,casos_con_ivr,telefonos_con_ivr,casos_unicos_mes,telefonos_unicos_mes
AYS3,GSM,2026-03,2026-03-02,8,1,1,1,24,34
AYSA,GSM,2026-03,2026-03-02,8,55,52,55,11092,19657
AYSE,GSM,2026-03,2026-03-02,8,22,22,22,414,552
AYS3,GSM,2026-03,2026-03-02,9,2,2,2,24,34
AYSA,GSM,2026-03,2026-03-02,9,1930,1761,1927,11092,19657
AYSE,GSM,2026-03,2026-03-02,9,23,23,23,324,428
ADT0,GSM,2026-03,2026-03-02,10,48,36,48,394,898
AYS3,GSM,2026-03,2026-03-02,10,4,4,4,24,34
AYSA,GSM,2026-03,2026-03-02,10,2592,2183,2588,11092,19657
AYSE,GSM,2026-03,2026-03-02,10,37,32,37,324,428
ADT0,GSM,2026-03,2026-03-02,11,64,58,64,394,898
AUSO,GSM_25,2026-03,2026-03-02,11,11,10,11,1279,1463
AUSO,GSM_26,2026-03,2026-03-02,11,1,1,1,401,431
AUSO,GSM_42,2026-03,2026-03-02,11,3,3,3,421,456
AUSO,GSM_43,2026-03,2026-03-02,11,5,5,5,452,483
AUSO,GSM_8,2026-03,2026-03-02,11,3,3,3,484,517
AUSO,GSM_83,2026-03,2026-03-02,11,6,5,6,964,1108
AUSO,GSM_85,2026-03,2026-03-02,11,1,1,1,1369,1573
AUSO,GSM_86,2026-03,2026-03-02,11,5,4,5,861,983
AUSO,GSM_9,2026-03,2026-03-02,11,10,10,10,1681,2061
AYS3,GSM,2026-03,2026-03-02,11,2,2,2,24,34
AYS3,GSM_9,2026-03,2026-03-02,11,1,1,1,1001,1091
AYSA,GSM,2026-03,2026-03-02,11,1421,1338,1418,11092,19657
AYSE,GSM,2026-03,2026-03-02,11,15,14,15,324,428
AYSE,GSM_26,2026-03,2026-03-02,11,225,196,225,6267,10131
AYSE,GSM_42,2026-03,2026-03-02,11,213,194,213,6295,10133
AYSE,GSM_43,2026-03,2026-03-02,11,229,206,227,6256,10210
AYSE,GSM_8,2026-03,2026-03-02,11,222,199,221,6342,10147
AYSE,GSM_83,2026-03,2026-03-02,11,375,297,373,7592,13476
AYSE,GSM_86,2026-03,2026-03-02,11,352,294,350,7161,12374
DRTV,GSM_26,2026-03,2026-03-02,11,9,9,9,1663,1931
DRTV,GSM_42,2026-03,2026-03-02,11,4,4,4,1260,1497
DRTV,GSM_43,2026-03,2026-03-02,11,8,8,8,1748,2035
DRTV,GSM_8,2026-03,2026-03-02,11,11,11,11,1826,2154
DRTV,GSM_83,2026-03,2026-03-02,11,16,14,16,2415,2892
DRTV,GSM_86,2026-03,2026-03-02,11,23,21,23,2210,2646
OEST,GSM_25,2026-03,2026-03-02,11,11,11,11,1089,1291
OEST,GSM_85,2026-03,2026-03-02,11,7,6,7,926,1096
OEST,GSM_9,2026-03,2026-03-02,11,15,13,15,1296,1611
ADT0,GSM,2026-03,2026-03-02,12,48,46,48,394,898
AUSO,GSM_25,2026-03,2026-03-02,12,29,28,29,1279,1463
AUSO,GSM_26,2026-03,2026-03-02,12,36,34,36,439,472
AUSO,GSM_42,2026-03,2026-03-02,12,33,32,33,467,506
AUSO,GSM_43,2026-03,2026-03-02,12,34,33,34,496,533
AUSO,GSM_8,2026-03,2026-03-02,12,26,26,26,536,575
AUSO,GSM_83,2026-03,2026-03-02,12,58,57,58,1050,1209
AUSO,GSM_85,2026-03,2026-03-02,12,26,25,26,1512,1751
AUSO,GSM_86,2026-03,2026-03-02,12,60,55,60,953,1095
AUSO,GSM_9,2026-03,2026-03-02,12,49,45,49,1861,2297
AYS3,GSM,2026-03,2026-03-02,12,2,2,2,24,34
AYS3,GSM_25,2026-03,2026-03-02,12,35,33,35,817,868
AYS3,GSM_26,2026-03,2026-03-02,12,30,29,30,1758,2083
AYS3,GSM_42,2026-03,2026-03-02,12,41,41,41,1763,2088
AYS3,GSM_43,2026-03,2026-03-02,12,28,28,27,1766,2091
AYS3,GSM_8,2026-03,2026-03-02,12,37,37,37,1814,2138
AYS3,GSM_83,2026-03,2026-03-02,12,63,59,61,1985,2410
AYS3,GSM_85,2026-03,2026-03-02,12,24,24,24,905,970
AYS3,GSM_86,2026-03,2026-03-02,12,66,64,65,1943,2347
AYS3,GSM_9,2026-03,2026-03-02,12,54,54,54,1001,1091
AYSA,GSM,2026-03,2026-03-02,12,874,827,874,11092,19657
AYSA,GSM_26,2026-03,2026-03-02,12,64,63,64,3240,3795
AYSA,GSM_42,2026-03,2026-03-02,12,54,53,54,3255,3813
AYSA,GSM_43,2026-03,2026-03-02,12,53,50,53,3340,3892
AYSA,GSM_8,2026-03,2026-03-02,12,54,54,52,3334,3933
AYSA,GSM_83,2026-03,2026-03-02,12,112,108,107,3887,4707
AYSA,GSM_86,2026-03,2026-03-02,12,118,118,116,3758,4507
AYSE,GSM,2026-03,2026-03-02,12,8,7,8,324,428
AYSE,GSM_26,2026-03,2026-03-02,12,274,258,273,6267,10131
AYSE,GSM_42,2026-03,2026-03-02,12,278,254,278,6295,10133
AYSE,GSM_43,2026-03,2026-03-02,12,318,299,318,6256,10210
AYSE,GSM_8,2026-03,2026-03-02,12,313,291,313,6342,10147
AYSE,GSM_83,2026-03,2026-03-02,12,630,538,630,7592,13476
AYSE,GSM_86,2026-03,2026-03-02,12,523,467,523,7161,12374
DRTV,GSM_26,2026-03,2026-03-02,12,49,48,49,1663,1931
DRTV,GSM_42,2026-03,2026-03-02,12,38,37,38,1711,1969
DRTV,GSM_43,2026-03,2026-03-02,12,38,38,38,1748,2035
DRTV,GSM_8,2026-03,2026-03-02,12,57,56,57,1826,2154
DRTV,GSM_83,2026-03,2026-03-02,12,109,104,109,2415,2892
DRTV,GSM_86,2026-03,2026-03-02,12,67,67,67,2210,2646
OEST,GSM_25,2026-03,2026-03-02,12,29,29,29,1089,1291
OEST,GSM_26,2026-03,2026-03-02,12,38,38,38,458,490
OEST,GSM_42,2026-03,2026-03-02,12,28,28,28,426,472
OEST,GSM_43,2026-03,2026-03-02,12,27,26,27,436,482
OEST,GSM_8,2026-03,2026-03-02,12,32,32,32,464,498
OEST,GSM_83,2026-03,2026-03-02,12,73,70,73,767,881
OEST,GSM_85,2026-03,2026-03-02,12,40,40,40,1051,1251
OEST,GSM_86,2026-03,2026-03-02,12,49,48,49,656,755
OEST,GSM_9,2026-03,2026-03-02,12,74,71,74,1296,1611
ADT0,GSM,2026-03,2026-03-02,13,37,35,37,394,898
ADT0,GSM_25,2026-03,2026-03-02,13,3,2,3,323,520
ADT0,GSM_85,2026-03,2026-03-02,13,1,1,1,347,661
ADT0,GSM_9,2026-03,2026-03-02,13,3,3,3,394,895
AUSO,GSM_25,2026-03,2026-03-02,13,36,36,36,1279,1463
AUSO,GSM_26,2026-03,2026-03-02,13,17,17,17,439,472
AUSO,GSM_42,2026-03,2026-03-02,13,12,12,12,467,506
AUSO,GSM_43,2026-03,2026-03-02,13,18,18,18,496,533
AUSO,GSM_8,2026-03,2026-03-02,13,15,14,15,536,575
AUSO,GSM_83,2026-03,2026-03-02,13,18,18,18,1050,1209
AUSO,GSM_85,2026-03,2026-03-02,13,47,47,47,1512,1751
AUSO,GSM_86,2026-03,2026-03-02,13,24,23,24,953,1095
AUSO,GSM_9,2026-03,2026-03-02,13,93,90,93,1861,2297
AYS3,GSM,2026-03,2026-03-02,13,4,4,4,24,34
AYS3,GSM_25,2026-03,2026-03-02,13,25,25,25,817,868
AYS3,GSM_26,2026-03,2026-03-02,13,22,22,19,1758,2083
AYS3,GSM_42,2026-03,2026-03-02,13,14,14,14,1763,2088
AYS3,GSM_43,2026-03,2026-03-02,13,9,8,9,1766,2091
AYS3,GSM_8,2026-03,2026-03-02,13,9,9,8,1814,2138
AYS3,GSM_83,2026-03,2026-03-02,13,33,31,31,1985,2410
AYS3,GSM_85,2026-03,2026-03-02,13,28,28,28,905,970
AYS3,GSM_86,2026-03,2026-03-02,13,20,20,20,1943,2347
AYS3,GSM_9,2026-03,2026-03-02,13,54,54,54,1001,1091
AYSA,GSM,2026-03,2026-03-02,13,862,825,861,11092,19657
AYSA,GSM_26,2026-03,2026-03-02,13,22,22,22,3240,3795
AYSA,GSM_42,2026-03,2026-03-02,13,15,15,15,3255,3813
AYSA,GSM_43,2026-03,2026-03-02,13,26,24,26,3340,3892
AYSA,GSM_8,2026-03,2026-03-02,13,21,20,21,3334,3933
AYSA,GSM_83,2026-03,2026-03-02,13,46,45,46,3887,4707
AYSA,GSM_86,2026-03,2026-03-02,13,40,39,40,3758,4507
AYSE,GSM,2026-03,2026-03-02,13,11,11,11,324,428
AYSE,GSM_26,2026-03,2026-03-02,13,269,253,268,6267,10131
AYSE,GSM_42,2026-03,2026-03-02,13,266,252,263,6295,10133
AYSE,GSM_43,2026-03,2026-03-02,13,290,263,289,6256,10210
AYSE,GSM_8,2026-03,2026-03-02,13,252,230,249,6342,10147
AYSE,GSM_83,2026-03,2026-03-02,13,559,472,555,7592,13476
AYSE,GSM_86,2026-03,2026-03-02,13,473,387,469,7161,12374
AYSE,MOVI,2026-03,2026-03-02,13,228,228,228,2245,2332
DRTV,GSM_26,2026-03,2026-03-02,13,21,20,21,1663,1931
DRTV,GSM_42,2026-03,2026-03-02,13,20,19,20,1711,1969
DRTV,GSM_43,2026-03,2026-03-02,13,24,24,24,1748,2035
DRTV,GSM_8,2026-03,2026-03-02,13,22,22,22,1826,2154
DRTV,GSM_83,2026-03,2026-03-02,13,44,42,44,2415,2892
DRTV,GSM_86,2026-03,2026-03-02,13,37,36,37,2210,2646
MEL0,GSM_26,2026-03,2026-03-02,13,143,142,143,72414,87909
MEL0,GSM_42,2026-03,2026-03-02,13,142,141,142,73969,90263
MEL0,GSM_43,2026-03,2026-03-02,13,169,166,169,77350,95466
MEL0,GSM_8,2026-03,2026-03-02,13,162,158,162,81092,101317
MEL0,GSM_83,2026-03,2026-03-02,13,322,316,322,101227,136680
MEL0,GSM_86,2026-03,2026-03-02,13,291,285,291,91706,118831
OEST,GSM_25,2026-03,2026-03-02,13,49,48,49,1089,1291
OEST,GSM_26,2026-03,2026-03-02,13,20,20,20,458,490
OEST,GSM_42,2026-03,2026-03-02,13,15,15,15,426,472
OEST,GSM_43,2026-03,2026-03-02,13,12,12,12,436,482
OEST,GSM_8,2026-03,2026-03-02,13,18,18,18,464,498
OEST,GSM_83,2026-03,2026-03-02,13,35,32,35,767,881
OEST,GSM_85,2026-03,2026-03-02,13,23,23,23,1051,1251
OEST,GSM_86,2026-03,2026-03-02,13,37,36,37,656,755
OEST,GSM_9,2026-03,2026-03-02,13,66,64,66,1296,1611
ADT0,GSM,2026-03,2026-03-02,14,47,44,47,394,898
ADT0,GSM_25,2026-03,2026-03-02,14,24,20,24,323,520
ADT0,GSM_85,2026-03,2026-03-02,14,14,11,14,347,661
ADT0,GSM_9,2026-03,2026-03-02,14,33,29,33,394,895
AUSO,GSM_25,2026-03,2026-03-02,14,38,38,38,1279,1463
AUSO,GSM_26,2026-03,2026-03-02,14,12,12,12,401,431
AUSO,GSM_42,2026-03,2026-03-02,14,17,17,17,421,456
AUSO,GSM_43,2026-03,2026-03-02,14,11,11,11,496,533
AUSO,GSM_8,2026-03,2026-03-02,14,17,17,17,536,575
AUSO,GSM_83,2026-03,2026-03-02,14,28,27,28,1050,1209
AUSO,GSM_85,2026-03,2026-03-02,14,22,21,22,1512,1751
AUSO,GSM_86,2026-03,2026-03-02,14,22,22,22,953,1095
AUSO,GSM_9,2026-03,2026-03-02,14,50,48,50,1861,2297
AYS3,GSM,2026-03,2026-03-02,14,1,1,1,24,34
AYS3,GSM_25,2026-03,2026-03-02,14,20,20,20,817,868
AYS3,GSM_26,2026-03,2026-03-02,14,19,19,19,1758,2083
AYS3,GSM_42,2026-03,2026-03-02,14,12,12,12,1763,2088
AYS3,GSM_43,2026-03,2026-03-02,14,23,21,23,1766,2091
AYS3,GSM_8,2026-03,2026-03-02,14,16,16,16,1814,2138
AYS3,GSM_83,2026-03,2026-03-02,14,38,38,38,1985,2410
AYS3,GSM_85,2026-03,2026-03-02,14,21,21,21,905,970
AYS3,GSM_86,2026-03,2026-03-02,14,40,38,40,1943,2347
AYS3,GSM_9,2026-03,2026-03-02,14,25,24,25,1001,1091
AYSA,GSM,2026-03,2026-03-02,14,917,871,916,11092,19657
AYSA,GSM_26,2026-03,2026-03-02,14,17,17,17,3240,3795
AYSA,GSM_42,2026-03,2026-03-02,14,24,23,24,3255,3813
AYSA,GSM_43,2026-03,2026-03-02,14,25,24,25,3340,3892
AYSA,GSM_8,2026-03,2026-03-02,14,27,26,27,3334,3933
AYSA,GSM_83,2026-03,2026-03-02,14,62,58,62,3887,4707
AYSA,GSM_86,2026-03,2026-03-02,14,63,59,63,3758,4507
AYSE,GSM,2026-03,2026-03-02,14,7,7,7,218,300
AYSE,GSM_26,2026-03,2026-03-02,14,227,214,227,6267,10131
AYSE,GSM_42,2026-03,2026-03-02,14,228,209,227,6295,10133
AYSE,GSM_43,2026-03,2026-03-02,14,199,182,199,6256,10210
AYSE,GSM_8,2026-03,2026-03-02,14,227,211,227,6342,10147
AYSE,GSM_83,2026-03,2026-03-02,14,428,376,428,7592,13476
AYSE,GSM_86,2026-03,2026-03-02,14,365,325,364,7161,12374
AYSE,MOVI,2026-03,2026-03-02,14,219,219,218,2245,2332
AYSJ,GSM_25,2026-03,2026-03-02,14,71,66,69,991,1345
AYSJ,GSM_85,2026-03,2026-03-02,14,58,55,58,1041,1448
AYSJ,GSM_9,2026-03,2026-03-02,14,164,139,161,1055,1477
DRTV,GSM_26,2026-03,2026-03-02,14,19,19,19,1663,1931
DRTV,GSM_42,2026-03,2026-03-02,14,19,19,19,1711,1969
DRTV,GSM_43,2026-03,2026-03-02,14,21,21,21,1748,2035
DRTV,GSM_8,2026-03,2026-03-02,14,16,14,16,1826,2154
DRTV,GSM_83,2026-03,2026-03-02,14,37,37,37,2415,2892
DRTV,GSM_86,2026-03,2026-03-02,14,29,28,29,2210,2646
MEL0,GSM_26,2026-03,2026-03-02,14,235,232,235,72414,87909
MEL0,GSM_42,2026-03,2026-03-02,14,260,257,260,73969,90263
MEL0,GSM_43,2026-03,2026-03-02,14,263,259,262,77350,95466
MEL0,GSM_8,2026-03,2026-03-02,14,259,254,259,81092,101317
MEL0,GSM_83,2026-03,2026-03-02,14,545,521,545,101227,136680
MEL0,GSM_86,2026-03,2026-03-02,14,447,431,447,91706,118831
OEST,GSM_25,2026-03,2026-03-02,14,41,41,41,1089,1291
OEST,GSM_26,2026-03,2026-03-02,14,30,30,30,405,430
OEST,GSM_42,2026-03,2026-03-02,14,30,29,30,426,472
OEST,GSM_43,2026-03,2026-03-02,14,36,34,36,436,482
OEST,GSM_8,2026-03,2026-03-02,14,26,26,26,464,498
OEST,GSM_83,2026-03,2026-03-02,14,61,56,61,767,881
OEST,GSM_85,2026-03,2026-03-02,14,49,49,49,1051,1251
OEST,GSM_86,2026-03,2026-03-02,14,47,47,47,656,755
OEST,GSM_9,2026-03,2026-03-02,14,77,74,76,1296,1611
ADT0,GSM,2026-03,2026-03-02,15,87,80,87,394,898
ADT0,GSM_25,2026-03,2026-03-02,15,14,13,14,323,520
ADT0,GSM_85,2026-03,2026-03-02,15,18,16,18,347,661
ADT0,GSM_9,2026-03,2026-03-02,15,26,20,25,394,895
AUSO,GSM_25,2026-03,2026-03-02,15,86,84,86,1279,1463
AUSO,GSM_26,2026-03,2026-03-02,15,6,6,6,401,431
AUSO,GSM_42,2026-03,2026-03-02,15,7,7,7,421,456
AUSO,GSM_43,2026-03,2026-03-02,15,5,5,5,452,483
AUSO,GSM_8,2026-03,2026-03-02,15,5,5,5,484,517
AUSO,GSM_83,2026-03,2026-03-02,15,12,11,12,1050,1209
AUSO,GSM_85,2026-03,2026-03-02,15,68,68,68,1512,1751
AUSO,GSM_86,2026-03,2026-03-02,15,5,5,5,861,983
